tid,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
3vlX5kFfQHDloPDV1cGENX,0.565,0.222,5,-19.933,0,0.0646,0.799,0.000213,0.0934,0.689,99.198,0
1hVRTl4yhWmGW7ImZoO22e,0.303,0.0141,10,-19.759,0,0.0418,0.948,0.0944,0.0792,0.157,171.439,0
2JdllRPH6a8NCpt2bpxpns,0.519,0.379,9,-14.368,1,0.0353,0.407,0.288,0.161,0.598,139.749,0
6f7r5i4xVwePkHDHwwMK75,0.476,0.251,9,-13.854,0,0.0278,0.769,0.774,0.0637,0.37,98.833,0
6TAW00MAPvS59yEoIgtOEI,0.492,0.205,9,-8.488,0,0.0577,0.983,0.893,0.122,0.109,128.315,0
1ChYuSIoOFDVY6fHSXF6zS,0.468,0.391,2,-13.196,0,0.0269,0.658,0.0617,0.111,0.342,142.413,0
6fBgbPzBpuBjIf4uEqAo4H,0.33,0.0508,11,-22.43,1,0.033,0.988,0.0922,0.147,0.054,77.018,0
0aWMVrwxPNYkKmFthzmpRi,0.421,0.0161,2,-25.358,0,0.0374,0.81,0.0021,0.0978,0.16,110.926,0
3iFlfQ0CXc9URaAvai8VUe,0.573,0.247,5,-19.282,0,0.0627,0.713,5.64e-05,0.103,0.604,138.234,0
0E8q2Fx2XuzXCO2NSAppkR,0.464,0.305,3,-12.435,0,0.0316,0.936,0.0846,0.208,0.282,108.229,0
1duGF26RKaTntfsJ0cTkzj,0.487,0.535,8,-8.47,0,0.0305,0.73,0.00414,0.0903,0.591,144.548,0
0Otf1ZfYNIjhqFIuJk0fsy,0.358,0.452,1,-13.02,1,0.0347,0.991,0.864,0.14,0.525,166.973,0
0ldmR2mJJNEoBIINfZWdv6,0.593,0.103,10,-14.961,1,0.081,0.986,0.6,0.12,0.443,66.283,0
7ysmJhXFQtiBQlk6EZ6sks,0.505,0.159,7,-11.235,0,0.0336,0.946,0.0127,0.212,0.196,59.385,0
