tid,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
3RlwtjeKhemCfiPvwMFozS,0.435,0.154,6,-21.451,1,0.0367,0.977,0.85,0.0728,0.0799,148.1,0
5DP6ow4t5Mmfge0fMRhSJD,0.249,0.129,4,-18.167,1,0.0324,0.945,0.839,0.17,0.253,70.59,0
0efOqjQkOgWPEZTzAZSB6j,0.575,0.373,11,-11.642,0,0.0279,0.197,0.898,0.0753,0.123,74.975,0
2T2EemW8X3GlKvJe1gxpBC,0.517,0.397,0,-14.281,1,0.0289,0.901,0.867,0.11,0.195,100.005,0
1XtkmIXg2o5SqOrNI8Szvk,0.261,0.25,7,-18.526,1,0.0339,0.474,0.893,0.0882,0.0827,153.045,0
1C2JiKNMjv8FaZlrgwObBJ,0.301,0.189,9,-16.072,1,0.0351,0.99,0.893,0.106,0.0379,139.894,0
6ZolaAx9dpXGBDlD83TGAT,0.25,0.13,5,-25.726,0,0.0428,0.987,0.926,0.0915,0.0505,114.73,0
0BXq9t3wTA8HMqFPvGxZYf,0.395,0.0307,2,-31.07,1,0.0482,0.991,0.896,0.109,0.386,131.514,0
6mib8jl6fASfaAahkDoCr8,0.355,0.0117,8,-32.75,0,0.0412,0.995,0.891,0.0999,0.161,124.238,0
6i3GB9JYHvYD2cH3EIDa3e,0.359,0.0962,7,-22.682,1,0.0431,0.996,0.961,0.106,0.372,72.342,0
64IBUAyeOxHHtV2VNl6CQ3,0.501,0.0921,3,-26.609,1,0.0459,0.996,0.951,0.12,0.175,139.14,0
7iw3S9vmaQYrdp9fUh4gzC,0.309,0.085,5,-23.526,1,0.0691,0.995,0.964,0.0897,0.206,205.094,0
6VaWHjTTcKiPjWEkejHkMR,0.373,0.112,7,-22.063,1,0.0428,0.992,0.914,0.104,0.501,110.651,0
000tG7ZCNMDFLzIxobVSUZ,0.431,0.0486,6,-23.585,1,0.0334,0.994,0.906,0.107,0.345,156.648,0
1ZxqvIpfcqYDcV4nP6jxms,0.216,0.0819,9,-26.17,1,0.0444,0.994,0.954,0.0931,0.0911,71.07,0
6VRfUvTQZGK8C3lkHwXJzl,0.437,0.076,10,-28.697,1,0.0421,0.993,0.957,0.104,0.677,135.428,0
3q0OFkCGpCB8XND1BKnnkL,0.243,0.0785,10,-23.19,0,0.0391,0.992,0.926,0.114,0.195,181.135,0
1sWI71ajS4mERuwG2k5vvD,0.112,0.0137,6,-28.804,1,0.0449,0.995,0.903,0.105,0.126,63.495,0
5UJtLkVsd0vcJuFdUNcpks,0.32,0.0227,3,-26.848,1,0.0418,0.989,0.911,0.103,0.0391,126.936,0
5FRKQvwwsBVwHKfG5QuL4h,0.367,0.0679,5,-26.149,0,0.0315,0.975,0.873,0.105,0.245,67.841,0
42ozgVjsCxPmH6vSFTXAHW,0.222,0.0449,9,-29.78,1,0.0755,0.995,0.95,0.103,0.452,201.559,0
2thjkJYDib3bBieR81IkNK,0.13,0.103,6,-22.23,0,0.0405,0.984,0.928,0.103,0.0381,150.667,0
3c0jigaQuhR3R4c6RGX6Ao,0.383,0.00952,5,-24.973,1,0.063,0.994,0.926,0.111,0.0865,135.194,0
7wksCozvMX6I0imUoTWBCE,0.503,0.0409,3,-30.746,1,0.0498,0.98,0.851,0.108,0.485,120.425,0
2YIC6Cp33wgMVEYruivCuH,0.472,0.124,10,-22.252,1,0.041,0.967,0.917,0.112,0.0759,109.567,0
0JdJYYA2fjAGplb5VLYL07,0.424,0.0577,5,-25.12,0,0.0428,0.991,0.902,0.13,0.11,114.351,0
5kRBxcHNbWOUFvv15I0dMP,0.444,0.0508,5,-28.789,1,0.0395,0.993,0.894,0.0983,0.271,132.664,0
2uiKpgfOX9OHiE6UuYAkU8,0.246,0.172,9,-20.009,0,0.0425,0.985,0.928,0.103,0.331,132.001,0
15BXZpDEzGSoKRdqvEieXQ,0.295,0.0693,4,-25.177,1,0.0357,0.99,0.909,0.105,0.262,118.817,0
68VIEpxFC0LiJbHRb0LcE2,0.369,0.0827,3,-25.838,0,0.0381,0.987,0.903,0.107,0.208,104.521,0
6SO2Oh12IbukgnkeSBOxW9,0.245,0.0348,9,-27.705,0,0.0363,0.991,0.831,0.101,0.118,136.574,0
1RWxd1knHYMwGKdbb241an,0.297,0.0805,0,-23.362,0,0.0343,0.927,0.884,0.0966,0.259,100.618,0
5ZCVigQ6yH25D61oA2fE4T,0.376,0.0145,3,-30.0,1,0.0418,0.994,0.883,0.111,0.51,136.949,0
4vLkjOq0df258sEL7zrtE0,0.379,0.0591,3,-27.298,1,0.0339,0.988,0.932,0.137,0.428,109.679,0
31u3s9hi7vrqm40Kh49j32,0.419,0.0373,0,-21.704,0,0.0565,0.994,0.898,0.112,0.125,115.763,0
0uMmijzW30VDvVLSCewVHR,0.368,0.0109,6,-27.149,1,0.0332,0.99,0.866,0.0915,0.0459,170.072,0
6qeY26kCmlIzpLZVibJU4M,0.292,0.00456,0,-28.648,1,0.038,0.992,0.893,0.106,0.239,70.715,0
6S5Nl4Hp7D2ypkGPzUqbTg,0.28,0.0791,11,-24.851,0,0.0497,0.994,0.951,0.101,0.154,150.045,0
6Y6xWTWRzij8b6qcRbOnDh,0.163,0.149,0,-24.412,0,0.0367,0.967,0.914,0.102,0.351,161.187,0
4Uke8Qv2jsLGq2pKSXjSXO,0.313,0.111,8,-32.044,1,0.0484,0.994,0.916,0.101,0.0823,115.681,0
09xhHABxdKi798ORUSbor5,0.303,0.0554,3,-26.195,1,0.0713,0.995,0.923,0.112,0.494,201.791,0
1eejuS5rMjtFeVF6DEzkTf,0.36,0.063,9,-27.207,0,0.0453,0.989,0.897,0.0934,0.199,123.687,0
5qHa8gZdBKxvseAyE2R2qe,0.414,0.128,2,-24.615,1,0.0461,0.993,0.954,0.0962,0.139,112.439,0
0pdWIu5FMVfPECxtZIV1Py,0.496,0.00421,8,-29.396,1,0.0377,0.995,0.952,0.112,0.0682,71.416,0
0g7477jVToOCDZ61AvZYB2,0.268,0.0195,7,-32.624,1,0.0513,0.995,0.918,0.076,0.0382,67.845,0
3qROrX6c2jW9lArTRnAKGf,0.436,0.0151,10,-19.251,0,0.0517,0.992,0.93,0.126,0.0393,110.407,0
3xE0JN7dBupo1lrr6WvZSl,0.482,0.103,2,-28.133,0,0.0315,0.987,0.909,0.0979,0.308,107.59,0
2PUtuAXHytwU78K90xLpcJ,0.264,0.012,0,-25.53,1,0.0392,0.993,0.929,0.105,0.0347,69.84,0
6KZtv7JVe8fKXaIHPj3Gb2,0.561,0.0236,6,-29.608,1,0.0639,0.995,0.928,0.108,0.181,125.029,0
1lBZFfbME5sIHKtgNuXq2I,0.29,0.0818,0,-25.673,1,0.0617,0.995,0.95,0.0918,0.281,185.091,0
4gMk88vLEk2ecyYjdNPZpm,0.349,0.0977,8,-24.791,0,0.0334,0.972,0.926,0.106,0.288,113.111,0
3mLVz3Hbb4wD3TV7eY5W4z,0.249,0.0136,0,-32.011,0,0.0465,0.994,0.88,0.109,0.0881,126.148,0
5CtLrqPzLfNkA2u8cgUcgk,0.573,0.0301,10,-23.273,1,0.0399,0.978,0.919,0.132,0.187,128.027,0
5ua7qZZVNiysfAbcN5IS6e,0.443,0.00669,6,-28.435,1,0.0411,0.996,0.959,0.101,0.198,109.066,0
7IOhTZyPfyCPhO041cdiDv,0.191,0.0151,11,-28.454,1,0.0497,0.995,0.871,0.0962,0.115,201.132,0
4fmG6hh126lwv3IKzXM1gD,0.351,0.119,4,-26.665,0,0.0311,0.995,0.894,0.0965,0.323,136.814,0
5Xihr5cDsWzZoAXDYXIyQT,0.348,0.159,4,-20.835,0,0.0376,0.99,0.937,0.103,0.108,122.842,0
6rotz7JFg3WMGt3fRBewPo,0.275,0.0306,2,-28.018,1,0.0414,0.991,0.87,0.126,0.0332,133.257,0
17DJuwGNugAo1UzfyA7On8,0.589,0.221,7,-20.79,1,0.0465,0.986,0.911,0.11,0.0986,112.102,0
4yMveNJje6wu6YUgf62DE1,0.414,0.0517,1,-22.566,1,0.0466,0.988,0.92,0.105,0.189,129.988,0
1SHZMSLi7z0lNlo6ljl0PC,0.452,0.0358,0,-30.801,1,0.0604,0.996,0.923,0.0959,0.164,125.196,0
3U7ITXsh5lsZXbYheMBpdY,0.344,0.0244,4,-24.601,1,0.0504,0.993,0.905,0.105,0.153,133.685,0
6SxecKjiavy2JnHSo3THF8,0.239,0.0264,9,-31.312,0,0.0405,0.994,0.796,0.0938,0.0757,144.363,0
4ZvOrYWUCgIRRQ4xwrFbRI,0.321,0.0509,4,-30.458,1,0.0414,0.992,0.8,0.0976,0.244,67.548,0
0SQETkWleYzqYASQ2WPxxZ,0.387,0.0541,8,-22.343,1,0.0333,0.99,0.932,0.0994,0.337,135.858,0
7JVjcxfs9CG6Ozlmibdrkl,0.215,0.0223,7,-28.528,0,0.0432,0.991,0.922,0.105,0.253,166.528,0
6bt1Qb3CCzQkXkXu3FzEeX,0.451,0.11,9,-29.814,1,0.0344,0.983,0.928,0.106,0.246,98.961,0
0baV2o4ykd6wIdv06jjZ7l,0.397,0.0551,10,-24.317,0,0.0439,0.996,0.902,0.117,0.135,96.788,0
6mQhibY0WvzsX9K3ZR7OTC,0.176,0.031,10,-31.689,1,0.0457,0.99,0.919,0.109,0.253,128.242,0
2IUmKvRTXla9wu8EtYmO6x,0.426,0.0933,9,-25.044,1,0.039,0.995,0.863,0.139,0.111,180.129,0
4UJ9CeB5TeQfHdhGvwYKnH,0.286,0.0555,10,-26.357,1,0.0424,0.993,0.919,0.101,0.069,175.27,0
3iyyTUxW6Y7StfgGFzwHte,0.491,0.00441,9,-28.548,0,0.0511,0.994,0.932,0.108,0.148,112.669,0
1ElNuIHucvUavBEg4IFtSx,0.512,0.0371,3,-30.083,1,0.0387,0.988,0.926,0.11,0.225,111.192,0
3qOEq8x1ayOUmvcEvzkPux,0.463,0.0623,9,-27.676,0,0.0351,0.993,0.93,0.111,0.225,81.154,0
5Z9LClwDtSCjaRoeaG7QmQ,0.365,0.0145,4,-20.417,0,0.0482,0.994,0.954,0.0933,0.268,176.099,0
0Ck0h2BOe48JxLlPQrl1sV,0.482,0.0269,10,-28.775,1,0.0416,0.984,0.883,0.1,0.0373,126.013,0
6JmgdhklkWQBWZBhh8Too2,0.266,0.0283,2,-27.499,1,0.0522,0.993,0.913,0.0918,0.468,140.499,0
0dLptfXupd4zsgppQgrvVO,0.401,0.0419,3,-29.581,1,0.0364,0.989,0.839,0.11,0.372,120.66,0
57cnKa2QfwxhWRY7ZiabvW,0.484,0.0465,0,-24.961,0,0.0424,0.992,0.964,0.103,0.159,114.985,0
1YaEv0xPN2bAKWKZiNuDb8,0.342,0.0604,5,-25.903,1,0.0466,0.995,0.931,0.101,0.233,111.914,0
5hLVKQBumXZ9DhK6khCiOP,0.48,0.12,10,-26.237,0,0.0406,0.994,0.944,0.108,0.0733,77.969,0
5NH7f7qokbw0GmEbztG9qv,0.518,0.00935,8,-31.784,0,0.0371,0.996,0.946,0.0899,0.284,67.5,0
0IBQM8tB107DZs0YCcXSt0,0.276,0.0507,2,-25.719,0,0.0382,0.986,0.867,0.107,0.145,97.772,0
7pDMaPfKcCiBovr98OYb5d,0.618,0.0454,7,-26.528,0,0.0385,0.992,0.948,0.103,0.529,94.506,0
53QF1jYx9t2QTfViROvl6W,0.548,0.0243,6,-31.741,1,0.0516,0.993,0.934,0.0791,0.35,61.736,0
2aGc5gn4ciDbXgMfUwa7YL,0.323,0.00894,8,-29.579,0,0.0493,0.993,0.861,0.11,0.215,96.667,0
5tmfNqexinEYSER5rcjSCj,0.292,0.0566,0,-23.072,1,0.0428,0.994,0.943,0.108,0.0988,68.667,0
7aw2vM9GkttgVrbao29wju,0.258,0.132,1,-28.306,1,0.0692,0.996,0.957,0.102,0.299,185.069,0
20jCNFEkg7GZo64KKfgmY2,0.357,0.0203,5,-33.187,1,0.0517,0.994,0.949,0.0998,0.248,151.19,0
1BZo2CHWy9gSgidvexgNYM,0.291,0.0121,10,-28.978,1,0.0554,0.995,0.827,0.112,0.106,180.095,0
690usDXtUjgHODvXh00KzC,0.46,0.0269,4,-20.935,0,0.0434,0.995,0.95,0.115,0.126,102.273,0
2F4AGG1MBVpmX59XlrT6wI,0.291,0.0182,7,-30.257,0,0.0414,0.995,0.929,0.0886,0.0779,129.616,0
4aTzC2cv9CFqtEiY3shp3d,0.326,0.038,8,-29.577,1,0.0492,0.993,0.892,0.103,0.283,172.488,0
1T81HdwFZ2bzZYBFZ6tc13,0.38,0.0167,11,-28.864,0,0.0427,0.993,0.924,0.102,0.0741,146.315,0
7Bqz55Uc7PouyqsmTS0q7R,0.54,0.0501,7,-23.229,0,0.0528,0.995,0.929,0.107,0.233,61.608,0
7nC2EOpMnpDT2DkvniimSm,0.389,0.1,10,-22.464,0,0.0358,0.972,0.934,0.113,0.0676,133.839,0
7hzvYJMRKjJas7foTUrO1J,0.254,0.0157,10,-24.851,1,0.0477,0.989,0.943,0.105,0.257,205.294,0
